"Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID"
"8126229151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",10,"Number of specimens","CN","CH","VN","T","C","E","","0553cd9323","9f978bdcb8"
"5628375951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","b5e0023cf8","821bbd99b0"
"6152236251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",10,"Number of specimens","US","CH","VN","T","C","E","","363c19a7a8","8264946dfb"
"4727588551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",8,"Number of specimens","US","CH","VN","T","C","E","","363c19a7a8","8264946dfb"
"4762022951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","75f74ee07a","821bbd99b0"
"2315184551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","37e864916d","759835cd18"
"4546757051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","0c5f49007c","5e71f3cf7b"
"4269458051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","efbb033956","675c8d2642"
"2366656451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",3,"Number of specimens","FR","CH","VN","T","C","E","","defcb244bc","1e26bd66f1"
"5592982851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",7,"Number of specimens","US","CH","VN","T","C","E","","11b596ac3f","1e26bd66f1"
"1833975051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","0ff28232da","1e26bd66f1"
"3703694351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",3,"Number of specimens","FR","CH","VN","T","C","E","","62dac0b871","1e26bd66f1"
"8006839551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",6,"Number of specimens","FR","CH","VN","T","C","E","","ff50af705e","1e26bd66f1"
"9818985351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","eea14212a4","75e0303db2"
"1943495051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","4673a84898","eb6c34f06f"
"9595669551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","a9960830f7","c3da0361e9"
"3455637751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",20,"Number of specimens","FR","CH","VN","T","C","E","","535a893df6","0efc9ba2cf"
"9995937251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","JP","CH","VN","T","C","E","","e9f18ba260","675c8d2642"
"7030245551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","JP","CH","VN","T","C","E","","78de17850f","5b7a70c822"
"8600331051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",5,"Number of specimens","JP","CH","VN","T","C","E","","e0d6822c7d","8264946dfb"
"2403402251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","8ff5fc160d","fc3c721e5f"
"2506354651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AE","CH","VN","T","C","E","","41028b70b1","2523383faf"
"1977478851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","4d6ae9c9ec","fc2c772c7b"
"9676171851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","99de7c12f0","821bbd99b0"
"5759603951",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","99de7c12f0","821bbd99b0"
